错误代码,描述,说明,建议
CODE_0,无错误,,
CODE_1,输出缓冲区溢出错误,,
CODE_10,PC 通信中断错误,,
CODE_100,机器人已改变模式,状态警告，一般模式改变 ,检查历史日志中的前置错误
CODE_101,已连接真实机器人,,
CODE_102,未连接真实机器人 - 模拟机器人,,
CODE_103,UR 以太网错误,,
CODE_103A1,安全控制板丢失 3 个一组的数据包,,
CODE_104,错误=向机器人发送空命令,,
CODE_10A1,PC 丢失数据包,,
CODE_10A101,PC 数据包接收过早,,
CODE_10A102,数据包计数器不匹配,,
CODE_10A103,PC 发送数据包过于频繁,,
CODE_11,循环冗余校验不佳错误,与关节串行通信问题,检查关节中的 2-线连接器和配线
CODE_111,机器人被其他物体拖住,,
CODE_115,未知的机器人类型,配置中指定的机器人类型未知,
CODE_116,实时部件警告,用户程序架构可能导致的 CPU 过载 ,重新架构用户程序
CODE_117,重启 SCB 失败,安全控制板无法从控制器重启。,重启机器人
CODE_12,未知消息错误,,
CODE_14,调试信息,,
CODE_150,保护性停止：位置接近关节极限,,
CODE_151,保护性停止：工具方向接近极限,,
CODE_152,保护性停止：位置接近安全板极限,,
CODE_153,保护性停止：位置偏离路径,,
CODE_154,保护性停止：位置位于奇点,机器人在奇点无法线性运动,使用关节空间运动或改变运动
CODE_155,保护性停止：机器人无法保持其位置，检查有效负载是否正确,,
CODE_156,保护性停止：进入自由驱动模式时，检测到错误的有效负载或安装，或机器人被其他物体拖住,由于设置错误，机器人可能发生非预期的移动,确认安装中使用的 TCP 配置和安装正确
CODE_160,Protective stop: The robot was powered off last time due to a joint position disagreement,"<p>Verify that the robot position in the 3D graphics matches the real robot, to ensure that the encoders function before releasing the brakes. Stand back and monitor the robot performing its first program cycle as expected.</p> <ul><li>If the position is not correct, the robot must be repaired. In this case, click <b>Power Off Robot</b>.</li><li>If the position is correct, please tick the check box below the 3D graphics and click <b>Robot Position Verified</b></li></ul> ",
CODE_161,"Protective stop: Large movement of the robot detected while it was powered off. The joints were moved while it was powered off, or the encoders do not function. ","<p>Verify that the robot position in the 3D graphics matches the real robot, to ensure that the encoders function before releasing the brakes. Stand back and monitor the robot performing its first program cycle as expected.</p> <ul><li>If the position is not correct, the robot must be repaired. In this case, click <b>Power Off Robot</b>.</li><li>If the position is correct, please tick the check box below the 3D graphics and click <b>Robot Position Verified</b></li></ul> ",
CODE_17,输入缓冲区中来自 PC 的数据包溢出,Masterboard 和 Motherboard 通信错误,检查线路板之间的以太网连接
CODE_172,控制模式非法,,
CODE_184,关节自检未完成,,
CODE_191,违反安全系统,,
CODE_191A1,违反关节位置极限,,
CODE_191A10,违反防护停止输出,,
CODE_191A11,违反紧急停止输出,,
CODE_191A12,违反动量极限,,
CODE_191A13,违反机器人运动输出,,
CODE_191A14,机器人在停止模式下没有制动,,
CODE_191A15,机器人在停止模式下继续运动,,
CODE_191A16,机器人没有及时停止,,
CODE_191A17,接收到 TCP 方向的空矢量,,
CODE_191A18,机器人没有停止输出违例,,
CODE_191A19,无效安全 IO 配置,,
CODE_191A2,违反关节速度极限,,
CODE_191A20,配置信息或极限设置没有收到,,
CODE_191A21,其他安全处理器发现违例,,
CODE_191A22,从 PC 收到不明指令,,
CODE_191A23,安全极限无效设置,,
CODE_191A24,缩减模式输出设置，不应该设置却设置了,,
CODE_191A25,缩减模式输出未设置，应该设置却未设置,,
CODE_191A26,非缩减模式输出设置，不应该设置却设置了,,
CODE_191A27,非缩减模式输出未设置，应该设置却未设置,,
CODE_191A28,机器人紧急停止超出最长停止时间,,
CODE_191A29,系统紧急停止超出最长停止时间,,
CODE_191A3,违反 TCP 速度极限,,
CODE_191A30,防护停止超出最长停止时间,,
CODE_191A4,违反 TCP 位置极限,,
CODE_191A5,违反 TCP 方向极限,,
CODE_191A6,违反电源极限,,
CODE_191A7,违反关节扭矩窗口,,
CODE_191A8,关节扭矩窗口过大,,
CODE_191A9,违反缩减模式输出,,
CODE_192,安全系统故障,,
CODE_192A1,机器人在紧急停止模式下依然通着电,,
CODE_192A10,TCP 位置冲突,,
CODE_192A11,TCP 方向冲突,,
CODE_192A12,电源冲突,,
